,id,value,feed_id,created_at,lat,lon,ele
11798,0EZVE86GPC88AK0DDVVYE9Y5YA,"{""temp"": ""27.08"", ""humid"": ""45"", ""light"": ""391""}",1839383,2022-04-01 02:00:07 UTC,,,
11799,0EZVE88P06B771RWRBC5YGWP5D,"{""temp"": ""28"", ""humid"": ""45"", ""light"": ""394""}",1839383,2022-04-01 02:00:14 UTC,,,
11800,0EZVE8AV7NC8N0M4VZ5JP0ZXZ5,"{""temp"": ""28.02"", ""humid"": ""45"", ""light"": ""394""}",1839383,2022-04-01 02:00:21 UTC,,,
11801,0EZVE8D1F9X9CP0TEMK166WACW,"{""temp"": ""28.04"", ""humid"": ""44"", ""light"": ""391""}",1839383,2022-04-01 02:00:28 UTC,,,
11802,0EZVE8F6GMK3A53QTBA6ZWBZ22,"{""temp"": ""28.05"", ""humid"": ""43"", ""light"": ""337""}",1839383,2022-04-01 02:00:35 UTC,,,
11803,0EZVE8HBTVJFGCD1G2YBER8MMC,"{""temp"": ""28.06"", ""humid"": ""42"", ""light"": ""396""}",1839383,2022-04-01 02:00:42 UTC,,,
11804,0EZVE8KMKR6PYY2FE3F48E8SG0,"{""temp"": ""28.06"", ""humid"": ""41"", ""light"": ""399""}",1839383,2022-04-01 02:00:50 UTC,,,
11805,0EZVE8NQ4005XHHXJNWZVKXTFS,"{""temp"": ""28.05"", ""humid"": ""41"", ""light"": ""395""}",1839383,2022-04-01 02:00:56 UTC,,,
11806,0EZVE8QWEJTWRHXM90B1RXYXV1,"{""temp"": ""28.05"", ""humid"": ""40"", ""light"": ""337""}",1839383,2022-04-01 02:01:04 UTC,,,
11807,0EZVE8T1RWBJ7JCABKNCKCJBGZ,"{""temp"": ""28.04"", ""humid"": ""40"", ""light"": ""396""}",1839383,2022-04-01 02:01:11 UTC,,,
11808,0EZVE8W7Q1GMP4S7K5EW1HRXXM,"{""temp"": ""28.04"", ""humid"": ""40"", ""light"": ""396""}",1839383,2022-04-01 02:01:18 UTC,,,
11809,0EZVE8YD1YA0BE6RAEG11WM7PT,"{""temp"": ""28.03"", ""humid"": ""40"", ""light"": ""393""}",1839383,2022-04-01 02:01:25 UTC,,,
11810,0EZVE90SFF4K33WE6G9HDMP26T,"{""temp"": ""28.03"", ""humid"": ""40"", ""light"": ""337""}",1839383,2022-04-01 02:01:33 UTC,,,
11811,0EZVE92RB04W1VFG2X70RDRP2A,"{""temp"": ""28.02"", ""humid"": ""40"", ""light"": ""337""}",1839383,2022-04-01 02:01:39 UTC,,,
11812,0EZVE94XT8MT8WBMSP3SZTG3D3,"{""temp"": ""28.02"", ""humid"": ""40"", ""light"": ""400""}",1839383,2022-04-01 02:01:46 UTC,,,
11813,0EZVE9731N7JAZKMK0HR9TT26Q,"{""temp"": ""28.01"", ""humid"": ""40"", ""light"": ""393""}",1839383,2022-04-01 02:01:53 UTC,,,
11814,0EZVE999D8Y1TJC32QHBJD3QV7,"{""temp"": ""28.01"", ""humid"": ""40"", ""light"": ""338""}",1839383,2022-04-01 02:02:01 UTC,,,
11815,0EZVE9BGBPE7KZV62JTZFFSSW1,"{""temp"": ""28.01"", ""humid"": ""40"", ""light"": ""338""}",1839383,2022-04-01 02:02:08 UTC,,,
11816,0EZVE9E13E0EWARFJTVKJP006S,"{""temp"": ""28"", ""humid"": ""40"", ""light"": ""396""}",1839383,2022-04-01 02:02:16 UTC,,,
11817,0EZVE9FVFASXQZ9CXBTDT6N570,"{""temp"": ""28"", ""humid"": ""40"", ""light"": ""399""}",1839383,2022-04-01 02:02:22 UTC,,,
11818,0EZVE9HYP2DBPWJD93D9VZYJDR,"{""temp"": ""27.09"", ""humid"": ""40"", ""light"": ""337""}",1839383,2022-04-01 02:02:29 UTC,,,
11819,0EZVE9M6HMG1H6467Z1FP07V20,"{""temp"": ""27.09"", ""humid"": ""40"", ""light"": ""398""}",1839383,2022-04-01 02:02:36 UTC,,,
11820,0EZVE9P9SFPXBN5SKY23YPCB9Q,"{""temp"": ""27.09"", ""humid"": ""40"", ""light"": ""398""}",1839383,2022-04-01 02:02:43 UTC,,,
11821,0EZVE9RH8R3NPDJ81FZQCMYWWD,"{""temp"": ""27.09"", ""humid"": ""40"", ""light"": ""396""}",1839383,2022-04-01 02:02:51 UTC,,,
11822,0EZVECDRF4QFDBMTRFDMY96QT9,"{""temp"": ""27.07"", ""humid"": ""40"", ""light"": ""322""}",1839383,2022-04-01 02:07:30 UTC,,,
11823,0EZVECFY2XJ9TYMRQ59JWD0F2R,"{""temp"": ""27.07"", ""humid"": ""40"", ""light"": ""198""}",1839383,2022-04-01 02:07:37 UTC,,,
11824,0EZVECJ3FKYD645JDTFZ207F00,"{""temp"": ""27.07"", ""humid"": ""40"", ""light"": ""177""}",1839383,2022-04-01 02:07:44 UTC,,,
11825,0EZVECM9X39S64XDYJ0DYAFENB,"{""temp"": ""27.07"", ""humid"": ""40"", ""light"": ""245""}",1839383,2022-04-01 02:07:51 UTC,,,
11826,0EZVECPDQBFY6NP5GM140ACQT1,"{""temp"": ""27.07"", ""humid"": ""40"", ""light"": ""324""}",1839383,2022-04-01 02:07:58 UTC,,,
11827,0EZVEFGBQPK1D0Y4CHWSWDG8AH,"{""temp"": ""27.07"", ""humid"": ""41"", ""light"": ""141""}",1839383,2022-04-01 02:12:53 UTC,,,
11828,0EZVEFHWHRPV07PM3BSS3C7T80,"{""temp"": ""27.08"", ""humid"": ""41"", ""light"": ""351""}",1839383,2022-04-01 02:12:58 UTC,,,
11829,0EZVEFMYQWCH867DWGV2GABDV6,"{""temp"": ""27.08"", ""humid"": ""40"", ""light"": ""178""}",1839383,2022-04-01 02:13:08 UTC,,,
11830,0EZVES68K9R33V80QC9RVBSMSN,"{""temp"": ""28.01"", ""humid"": ""43"", ""light"": ""386""}",1839383,2022-04-01 02:29:48 UTC,,,
11831,0EZVES7SG8WSWVWQ3Z7J8V5S4M,"{""temp"": ""28.01"", ""humid"": ""42"", ""light"": ""315""}",1839383,2022-04-01 02:29:53 UTC,,,
11832,0EZVESAVE6SYTVE0XNSCFCE353,"{""temp"": ""28"", ""humid"": ""41"", ""light"": ""315""}",1839383,2022-04-01 02:30:03 UTC,,,
11833,0EZVEX8129YPRAYQTV1NBWH1SV,"{""temp"": ""27.02"", ""humid"": ""41"", ""light"": ""780""}",1839383,2022-04-01 02:36:54 UTC,,,
11834,0EZVEXA536TZPPAX14887KEDFM,"{""temp"": ""27.02"", ""humid"": ""41"", ""light"": ""777""}",1839383,2022-04-01 02:37:01 UTC,,,
11835,0EZVEXCBENSDTDB9NMZ666MW04,"{""temp"": ""27.02"", ""humid"": ""41"", ""light"": ""769""}",1839383,2022-04-01 02:37:08 UTC,,,
11836,0EZVEXEZTBJ6H7TAEAD4HTGZQH,"{""temp"": ""27.02"", ""humid"": ""40"", ""light"": ""800""}",1839383,2022-04-01 02:37:16 UTC,,,
11837,0EZVEXGXMB7K8D7D1KBCS3KAMB,"{""temp"": ""27.02"", ""humid"": ""40"", ""light"": ""803""}",1839383,2022-04-01 02:37:23 UTC,,,
11838,0EZVEXK2MDGP0554QEBPD1HTDJ,"{""temp"": ""27.02"", ""humid"": ""41"", ""light"": ""791""}",1839383,2022-04-01 02:37:30 UTC,,,
11839,0EZVEXN7JG6ZS0EQDQPDSFTYAP,"{""temp"": ""27.02"", ""humid"": ""41"", ""light"": ""941""}",1839383,2022-04-01 02:37:37 UTC,,,
11840,0EZVEXZWRDRC9Z4B5Q6CHP1K06,"{""temp"": ""27.03"", ""humid"": ""41"", ""light"": ""856""}",1839383,2022-04-01 02:38:12 UTC,,,
11841,0EZVEY207N195AQ6KY71GJB36Q,"{""temp"": ""27.03"", ""humid"": ""41"", ""light"": ""851""}",1839383,2022-04-01 02:38:19 UTC,,,
11842,0EZVEY4ESD4EB69EY442NRZMTE,"{""temp"": ""27.03"", ""humid"": ""41"", ""light"": ""854""}",1839383,2022-04-01 02:38:27 UTC,,,
11843,0EZVEY6M5BHSTR7TDS5AAQMG13,"{""temp"": ""27.03"", ""humid"": ""40"", ""light"": ""845""}",1839383,2022-04-01 02:38:34 UTC,,,
11844,0EZVEY8S6FRJNRVDT679MZ4YXH,"{""temp"": ""27.04"", ""humid"": ""40"", ""light"": ""854""}",1839383,2022-04-01 02:38:41 UTC,,,
